"","Sample.1","Sample.2","Sample.3","Sample.4","Sample.5","Sample.6","Sample.7","Sample.8","Sample.9","Sample.10","Sample.11","Sample.12","Sample.13","Sample.14","Sample.15","Sample.16","Sample.17","Sample.18","Sample.19","Sample.20","Sample.21","Sample.22","Sample.23","Sample.24","Sample.25","Sample.26","Sample.27","Sample.28","Sample.29","Sample.30","Sample.31","Sample.32","Sample.33","Sample.34","Sample.35","Sample.36","Sample.37","Sample.38","Sample.39","Sample.40"
"sp|P01008|ANT3_HUMAN",4344910.658,7687280.198,7333357.647,6615068.443,5698209.643,6934847.473,5923380.871,6603675.638,8691951.466,7024128.204,11077075.42,9317109.557,11237552.77,8321328.292,11169656.15,10744044.18,8252734.516,10678243.91,10185177.31,9086084.84,9073471.371,8836135.214,9885132.397,10081720.2,10012994.29,8888984.732,9929117.725,10135258.67,9435588.262,10171461.4,8076306.155,8389911.551,8486178.954,7980557.664,8486011.895,7697094.135,7475640.838,7494116.683,7783787.358,7382212.813
"sp|P01009|A1AT_HUMAN",127696104,146058410,121219072.6,143956953,74211517.18,115134350.8,105259529.8,166838242.4,125783577.4,106015344.3,107296812.4,85896890.55,108121672.3,93412191.37,111980960.6,106244205.3,85865571.95,84430085.47,86519679.47,88128694.44,115482588.6,107319660.9,100881056.5,95785999.26,120118785.7,101859525,128036155.8,76432136.28,113169275.3,69329272.93,122971478.9,103764869.7,136526645.9,97763061.12,136186181.7,75577029.17,96192101.93,96836962.45,89117904.39,119745463.4
"sp|P01011|AACT_HUMAN",22927002.67,15384836.28,29955767.04,19395142.83,17079045.7,19310074.9,21616915.58,35492363.66,26934673.61,14640576.34,22895040.95,17725013.16,20275901.95,15051444.22,16117520.58,24840929.68,26395096.38,19412702.73,18622028.82,23715581.54,25153786.31,24794764.46,25112476.35,25451474.44,18974685.83,17880190.98,24763813.57,20945383.33,22432262.9,26164399.1,19756729.73,23647118.07,23900276.57,17644508.47,15691356.69,15560989.73,18766415.23,21620063.07,18141613.46,19199323.9
"sp|P01019|ANGT_HUMAN",19709569.63,24423986.5,21377107.91,14320483.89,10824812.17,15624068.28,14243031.71,24641862.06,21380553.9,18399797.93,15735825.45,8235701.281,13081942.66,6545297.917,8883875.84,10758278.73,9449571.353,8413984.575,7272494.486,6977457.115,6447813.138,7862185.149,9381635.438,10221923.46,8017784.438,6444156.026,7669743.749,9015724.125,8048303.68,8954127.1,6765103.335,6128520.617,17607266.68,8157560.376,31592717.41,8215838.361,5894643.065,5845468.009,5947469.658,16595982.58
"sp|P01023|A2MG_HUMAN",341452448.4,488609163.9,314351768.9,460142170.4,421946621.6,401552338.5,350012548.1,401097474.3,398420414.4,351955243.3,509598507.2,427126192.9,568164611.3,453887738.4,534006132.3,402345378.3,434173475.4,451282118.9,430792471.5,401547119.2,399513521.1,360893566.1,553691752.9,561491309.6,489866137.2,321484417.1,380325845.4,493692008.7,383203660.8,417841268.4,165426723.8,184696514.3,222076322.4,249673752.8,145969399.2,151354097.1,170621348.2,159415541.8,195206809.4,149571000
"sp|P01024|CO3_HUMAN",171913242.8,222904393.5,205472659.8,225977854.9,189906677.3,170974586.6,184525222.7,223658137.3,218809201.8,199183067.3,163967519.2,186748976.1,205939790.7,163663479.7,201074661.6,187644584.4,198654554.9,212806791.6,157568654.6,164643093.9,257436937.3,246626340.9,277867978.4,285030147.4,263264603.5,236519282.3,221980676.1,246782377.8,214937280,253024141.1,188677027.5,195434075.2,258852280.6,167077881.6,208905465.1,201842714.8,150795261.6,209364571.1,123369188.4,244613782
"sp|P01031|CO5_HUMAN",2714599.762,3733501.884,3601732.094,3793227.968,3273905.354,3708910.207,3075752.12,4522291.306,4057927.965,3626276.368,2303219.776,1773866.456,2785804.659,1860570.258,2266598.157,2482713.042,2318589.481,1965799.506,2025206.412,2177247.746,3022400.599,3010043.002,2871188.207,3056969.751,2926992.361,2765619.901,2516629.528,3134457.685,2554496.326,3040951.338,2854684.777,2580048.785,4196513.811,2742256.918,2800980.347,2468840.216,2136755.384,3164028.415,1917997.785,3731853.764
"sp|P01042|KNG1_HUMAN",3259060.872,5791800.824,4516418.971,5433649.623,3561548.924,5903766.479,4272933.475,5790278.936,6451838.069,6156471.927,10117862.65,7788711.711,9691553.68,6982651.129,8890779.129,8469822.915,6441838.797,8258750.032,6463945.073,8334332.903,6418524.878,8320873.367,8777162.987,9367238.558,9486405.84,7323349.627,9388596.615,8811658.96,8051243.051,9127086.607,7772441.231,6970797.951,8923632.93,5981072.038,11269162.13,7290663.196,5781683.432,6633578.847,5950484.182,8305313.544
"sp|P01591|IGJ_HUMAN",123924.9666,124809.1495,127056.7257,100669.4088,87148.57457,148036.9449,198237.2846,200297.4902,143460.4389,132944.6597,1097486.721,589976.8134,1167014.728,685681.7039,680458.2136,1294956.35,618211.3368,427882.979,608511.445,1111532.039,1198761.503,2723132.298,456681.2667,611004.5179,1004594.748,1002195.303,758758.8021,1602183.488,1688830.003,1591297.785,1317779.46,1044816.788,1732816.949,1509963.176,2394607.904,3548706.42,2050903.055,1672168.395,1567460.56,1763913.581
"sp|P01602|KV110_HUMAN",3141880.559,3532047.013,2331201.88,1936600.771,3820064.122,3428495.707,1187092.325,3128311.57,1979512.838,2141084.968,1308005.406,1763653.071,1587453.872,1175081.427,1450850.796,837897.6414,2081980.296,1259388.201,765251.9907,1564313.662,1540565.121,3649347.607,1131101.625,977760.8201,1237101.607,1545609.611,1808247.133,2212021.647,1509143.525,1754223.903,2727314.366,1902904.602,1908896.302,3474534.664,2087681.565,2979648.117,1021407.982,1598015.017,2868296.558,2032597.388
"sp|P01609|KV117_HUMAN",4898207.015,7243944.739,6164710.74,3294823.457,3431801.999,4173232.974,2043809.192,4092133.566,3626356.535,4374247.883,1848441.445,2640813.995,1346194.424,1781138.943,2055125.859,1684817.245,1987832.128,2259151.067,1645215.621,2626789.647,2599975.052,2575196.599,1880373.558,1588131.033,1760548.556,3755716.438,2278258.656,2739008.764,2958559.455,2691497.178,3401991.178,2877019.713,2870586.116,4384424.608,4018563.97,3811137.813,4030130.31,3058729.995,2919917.389,2360678.178
"sp|P01611|KV119_HUMAN",582072.3328,894458.338,887154.1439,454264.1822,547449.4796,549183.1563,296174.1776,610191.5545,503850.1872,514914.0721,313920.0153,402280.6413,244670.4189,263838.6194,371785.9967,246333.4093,252746.4292,270835.5304,199975.9499,590488.1607,311055.5065,524350.117,234497.1957,213834.8275,212264.8366,424165.7119,254519.4226,362471.1054,371208.069,359583.6621,692295.4081,420556.0819,397139.7333,542908.0195,589137.9544,470902.9724,456933.3813,486212.0995,516579.254,402479.1905
"sp|P01613|KV121_HUMAN",1878581.916,1843017.748,1823322.805,528886.1518,1375609.536,2112768.406,895802.6438,2294817.607,1550286.878,981833.4777,1080425.947,1415617.729,951635.0143,1142730.788,1166594.492,1027153.23,1124714.609,1030296.263,892729.5962,1165098.231,1259198.891,2035667.777,1166807.261,5514755.985,897111.4711,1664517.186,1587425.433,6227438.985,1317409.213,1422531.38,2184828.712,1278316.431,1422833.905,2004919.164,2266398.545,1802643.076,1119026.186,1103897.264,1557943.671,1235221.334
"sp|P01714|LV301_HUMAN",854049.5186,1139727.361,1027813.136,626564.4591,1095909.554,854926.3573,728885.0116,1116166.696,1295115.539,742622.594,1223958.804,759028.0467,450878.0874,835550.6463,824854.0755,531867.8222,572917.1322,531611.6313,765321.2629,798386.6858,603064.2026,763689.754,694878.8339,1047103.624,959236.5089,1023172.968,1123046.672,1289880.16,803057.3881,859869.4088,901685.0938,607615.5356,1286572.929,385324.8567,1013342.393,467151.707,678099.7005,555017.7518,700542.1684,1027281.023
"sp|P01717|LV403_HUMAN",1963047.007,3119289.281,1404699.817,1424084.871,2122824.091,2209528.643,919982.3441,2995823.827,2741660.12,1541691.123,1943306.931,2092975.466,1392464.506,2083499.436,2729411.062,1084537.456,1675482.051,2052412.941,1788236.001,2082158.925,2202260.458,3077206.363,2777838.672,3686180.943,2295613.537,2077602.64,3597761.405,2159849.391,1552263.715,2968107.53,1906758.14,1583580.172,2404512.594,1890485.695,2353089.57,1675607.597,1361282.638,1935170.451,1237593.745,1402567.657
"sp|P01743|HV102_HUMAN",1418090.171,1770837.783,2056293.608,1313605.626,1542850.613,1563623.145,1928867.939,1557235.965,1676895.271,1216424.15,1236677.628,1944287.299,893909.566,2097038.619,2204396.662,1099853.256,1145703.659,1080240.236,1183572.595,2903996.155,1365423.675,2274788.307,1197020.504,1592940.693,1534622.146,2796913.394,1771490.359,1278107.901,1922263.788,1774884.392,1781841.852,1359418.278,1794534.587,1509030.312,2554491.169,1316984.204,2310507.163,1328640.199,1512165.568,1480675.664
"sp|P01764|HV303_HUMAN",3089500.908,4867104.773,4328188.716,3382823.246,2976275.003,3330138.256,1913062.447,4172739.386,3363740.071,4277989.856,3765399.859,2223529.63,2608333.782,2603608.573,3149928.221,3225585.354,2716245.691,2502713.762,2525114.737,2451971.122,4251345.981,4664757.846,3298652.059,3960858.91,2684340.685,5323869.547,3747417.865,5077611.851,3106112.666,4250184.902,5765605.005,1766896.868,2922662.683,6596406.678,5482944.808,4330874.958,3266268.001,4568397.747,2372464.681,3101485.047
"sp|P01766|HV305_HUMAN",7270981.211,12207512.34,13512723.95,6988149.189,6958902.366,9726014.572,7368059.17,9401361.493,9707162.065,8082164.987,8381027.441,8506341.143,6227574.851,8076859.305,10121081.1,7388060.964,7611967.725,7228070.612,6968245.12,13113016.03,8935660.382,15821491.36,7753128.881,8990861.187,9986377.633,12517366.2,11095657.52,9401865.863,9198885.828,9635861.784,15062262.18,9382028.97,11576776.33,12837601.18,18725654.95,12928990.09,9725815.719,11466131.13,10075682.31,9210642.332
"sp|P01772|HV311_HUMAN",414609.7989,484670.5933,613943.6021,303047.3722,242620.3442,635827.0351,296844.7481,185296.6833,412342.1668,213712.9163,56444.668,45489.20904,23520.16274,71450.78286,85323.44021,25220.99958,78946.29281,73114.63352,41741.52853,80550.61828,221252.197,201248.1536,88702.80264,143129.7912,155123.8244,347023.9414,387303.7025,245376.5102,350381.9941,131075.2903,670244.7321,105999.5526,540219.859,306711.6349,528730.6502,462565.563,266249.4513,411483.1487,545879.4419,316541.6563
